StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q162	Q1	Q2	Q2_1_TEXT	Q3	Q4	Q4_1_TEXT	Q5	Q6	Q7	Q7_7_TEXT	Q8	Q8_10_TEXT	6.2	6.3	6.4	Q48	Q50	Q52	Q54	Q54_7_TEXT	Q131	Q131_7_TEXT	Q56	6.5	6.6	Q58	Q131	Q62	Q64	Q64_7_TEXT	Q116	Q116_7_TEXT	Q66	6.7	6.8	Q68	Q70	Q72	Q74	Q74_7_TEXT	Q117	Q117_7_TEXT	Q76	6.9	6.1	Q78	Q80	Q82	Q84	Q84_7_TEXT	Q118	Q118_7_TEXT	Q86	6.11	6.12	Q88	Q90	Q92	Q94	Q94_7_TEXT	Q119	Q119_7_TEXT	Q96	6.13	6.14	Q98	Q100	Q102	Q104	Q104_7_TEXT	Q120	Q120_7_TEXT	Q106	6.15	6.16	Q108	Q110	Q112	Q114	Q114_7_TEXT	Q121	Q121_7_TEXT	Q116	6.17	6.18_1	Q133_1	Q133_2	Q118	Q120	Q122	Q122_7_TEXT	Q122	Q122_7_TEXT	Q124	6.19	Q126	Q128	Q130	Q132	Q132_7_TEXT	Q123	Q123_7_TEXT	Q134	6.2	6.21	Q136	Q138	Q140	Q142	Q142_7_TEXT	Q124	Q124_7_TEXT	Q144	6.22	6.23	6.24	Q146	Q148	Q150	Q152	Q152_7_TEXT	Q125	Q125_7_TEXT	Q154	6.25	6.26	Q155	Q156	Q157	Q158	Q158_7_TEXT	Q126	Q126_7_TEXT	Q159	6.27	6.28	Q160	Q161	Q162	Q163	Q163_7_TEXT	Q127	Q127_7_TEXT	Q164	6.29	6.3	Q165	Q166	Q167	Q168	Q168_7_TEXT	Q128	Q128_7_TEXT	Q169	6.31	6.32	Q170	Q171	Q172	Q173	Q173_7_TEXT	Q129	Q129_7_TEXT	Q174	6.33	6.34	Q175	Q176	Q177	Q178	Q178_7_TEXT	Q130	Q130_7_TEXT	Q179	Q2_1	Q2_2	Q2_3	Q2_4	Q2_5	Q2_6	Q2_7	Q2_8	Q3_1	Q3_2	Q3_3	Q3_4	Q3_5	Q3_6	Q3_7	Q3_8	Q6_1	Q6_2	Q6_3	Q6_4	Q6_5	Q7_1	Q7_2	Q7_3	Q7_4	Q7_5	Q7_6	Q7_7	Q7_8	Q8_1	Q8_2	Q8_3	Q8_4	Q8_5	Q8_6	Q8_7	Q8_8	Q21_1	Q21_2	Q21_3	Q21_4	Q21_5	Q21_6	Q21_7	Q21_8	Comments	MTurkCode	MID	Excluded	Enter Embedded Data Field Name Here...	SNI_Ex_Family_Roles	SNI_Ex_Family_Count	SNI_Ex_Work_Count	SNI_Ex_Group_Count	SNI_Ex_Family_Roles_Ex	SNI_Ex_Family_Count_Ex	SNI_Ex_Work_Count_Ex	SNI_Ex_Group_Count_Ex	SNI_Ex_Embed_Work	SNI_Ex_Embed_Work_Ex	SNI_Ex_Embed_Family	SNI_Ex_Embed_Family_Ex	SNI_Ex_Embed_Group	SNI_Ex_Embed_Group_Ex	SNI_Ex_Network_Diversity	SNI_Ex_People_Count	SNI_Ex_Embed_Networks	SNI_Ex_Network_Diversity_allComm	SNI_Ex_People_Count_allComm	SNI_Ex_Embed_Networks_allComm	SNI_Ex_Emotion_Support_R	SNI_Ex_Physical_Support_R	SNI_Ex_Info_Support_R	SNI_Ex_Appraisal_Support_R	SNI_Ex_Companion_Support_R	SNI_Ex_Emotion_Support_G	SNI_Ex_Physical_Support_G	SNI_Ex_Info_Support_G	SNI_Ex_Appraisal_Support_G	SNI_Ex_Companion_Support_G	SNI_Ex_Face2Face	SNI_Ex_Text	SNI_Ex_Phone_Voice	SNI_Ex_Email	SNI_Ex_Social_Media	SNI_Ex_Gaming	SNI_Ex_Touch	SNI_Ex_Child_Date	SNI_Ex_Parent_Date	SNI_Ex_In_Law_Date	SNI_Ex_Family_Date	SNI_Ex_Friend_Date	SNI_Ex_Church_Date	SNI_Ex_School_Date	SNI_Ex_Work_Date	SNI_Ex_Neighbor_Date	SNI_Ex_Volunteer_Date	SNI_Ex_Group1_Date	SNI_Ex_Group2_Date	SNI_Ex_Group3_Date	SNI_Ex_Group4_Date	SNI_Ex_Group5_Date	NIHTB_Emotional_Support	NIHTB_Friendship	NIHTB_Loneliness	NIHTB_Instrumental_Support	NIHTB_Perceived_Hostility	NIHTB_Perceived_Rejection
8/14/17 10:40	8/14/17 10:49	0	174.24.166.88	100	554	1	8/14/17 10:49	R_3L0g7y7ArF2Qoa8					47.62010193	-122.1408005	anonymous	EN	A04548021K19SQXHSP0XC	1	1		21	2		2	2	5		3		2	1										3	3	3	8/13/17	"1,2,3,5"	"4,6"		"4,6"		2											2	2	2	8/11/17	"3,5"	4		4		3	4	4	4	8/14/17	"1,2,3,4,5,6"	"2,3,4,6"		"2,3,4,6"		2	2										1	4	4	8/11/17	"2,5"	"3,4"		"3,4"		3	2											1	1								2										1																																																																																																										Great survey!	94613045	A04548021K19SQXHSP0XC	SAMPLE_NONE		2	3	0	0	2	3	0	0	0	0	0	0	0	0	4	9	0	4	9	0	1	2	4	0	2	1	2	4	0	2	2	3	3	1	4	1	0		8/13/17		8/11/17	8/14/17		8/11/17									34	34	9	28	19	15
8/14/17 11:31	8/14/17 11:37	0	184.57.218.153	100	346	1	8/14/17 11:37	R_2aKnA6X7AC5YImA					39.26010132	-84.4890976	anonymous	EN	AX06ZUCRNSGB3	1	1	24	24	2		1	2	5		2		1	5	5	5	8/14/17	"1,7"	"2,6"		"2,4,6"		2	2	1	2	8/13/17	3	2		2		2	3	2	3	8/13/17	1	2		4		2	2	2	2	8/11/17	"2,3"	"2,4"		"2,4,5"		2	1										2										2										1	1	4	4	8/11/17	1	4		4		2	1	1								2										1																																																																																																											71963963	AX06ZUCRNSGB3	SAMPLE_NONE		4	7	3	0	5	9	3	0	0	0	1	1	0	0	5	10	1	6	12	1	4	0	2	0	1	3	0	4	1	1	3	1	2	0	0	0	1	8/14/17	8/13/17	8/13/17	8/11/17				8/11/17								36	15	5	40	8	8
8/14/17 12:37	8/14/17 12:46	0	24.214.138.171	100	546	1	8/14/17 12:46	R_1LtDkrgf2r5go2c					32.54429626	-84.92079926	anonymous	EN	A2YQBBAK7NBZHU	1	1	29	29	2		1	2	5		5		1	2	2	2	8/14/17	"1,7"	6		"2,3,6"		2	3	3	3	8/14/17	"2,3,4"	"2,4,6"		"2,4,6"		2	3	3	3	8/14/17	"2,3,4,5"	"2,4"		"2,4"		2	5	1	3	8/14/17	"2,3,5"	"2,4,6"		"2,4,6"		2	3	1	3	8/13/17	"2,5"	"2,4"		"2,4"		2	2										2										1	1	2	3	8/14/17	"2,3,4"	4		"2,3,4"		3	1	1								2										1																																																																																																										Thanks for the opportunity to participate. 	36745182	A2YQBBAK7NBZHU	SAMPLE_NONE		4	6	1	0	4	8	2	0	0	0	1	1	0	0	5	7	1	7	12	1	4	0	5	0	3	6	2	5	0	3	1	5	4	3	3	0	1	8/14/17	8/14/17	8/14/17	8/14/17	8/13/17			8/14/17								36	32	10	32	17	15
8/14/17 13:06	8/14/17 13:12	0	108.225.41.224	100	360	1	8/14/17 13:12	R_3noLyaqoXr4NhXl					35.37980652	-97.75980377	anonymous	EN	A351P2O6QGTCS	1	1	52	52	2		1	2	5		3		1	3	3	3	8/14/17	"1,2,3,5"	6		4		2	3	2	2	8/14/17	"1,2,3"	"2,4,6"		"2,6"		2	2	2	2	8/13/17	"1,2,3"	6		6		2	1										1										2										2										1	1	6	1	8/11/17	1	6		6		2	1	1								2										1																																																																																																											45919487	A351P2O6QGTCS	SAMPLE_NONE		4	5	5	0	4	5	0	0	1	0	1	1	0	0	5	10	2	4	5	1	1	0	1	0	4	1	0	1	0	3	4	3	3	0	1	0	0	8/14/17	8/14/17	8/13/17					8/11/17								36	8	7	36	10	8
8/14/17 14:04	8/14/17 14:14	0	172.90.194.47	100	567	1	8/14/17 14:14	R_3oXVAgzyeaB1H9v					33.91290283	-118.3439026	anonymous	EN	A3OW5EFQ5QFD19	1	1	29	29	2		1	2	4		5		1	3	3	3	8/14/17	1	"2,3,6"		"2,3,4,6"		2	4	1	1	7/8/17	3	7	none	7	none	2	3	1	1	8/7/17	3	4		7	none	1	4	3	3	8/13/17	5	"2,4,6"		"2,4,6"		2	1										2										2										2											1	1								2										2	Online parent group	21	21	8/14/17	5	"2,4,6"		"2,4,6"		2																																																																																																	66165299	A3OW5EFQ5QFD19	SAMPLE_NONE		3	5	0	20	3	5	0	20	0	0	1	1	1	1	4	25	2	4	25	2	3	1	3	0	3	3	1	3	0	3	1	0	2	0	2	0	0	8/14/17	7/8/17	8/7/17	8/13/17							8/14/17					28	8	16	32	13	25
8/14/17 16:35	8/14/17 16:41	0	186.77.167.103	100	360	1	8/14/17 16:41	R_2V89g55WPEQBfo0					12.15080261	-86.26830292	anonymous	EN	A2Z70GL7HTFFQR	1	1	29	29	2		2	1	5		3		1	2	2	2	8/14/17	1	"2,3,6"		"2,3,6"		1	3	2	2	8/14/17	"2,3,4"	"2,3"		"2,3"		2	3	2	2	8/14/17	1	"3,4"		"3,4"		2	1										1										2										2										1	1	3	3	8/14/17	1	"4,5"		"4,5"		2	1	1								2										1																																																													4	3	1	1	3	4	5	3	4	4	4	5	4	5	5	4	1	1	1	1	1	1	3	1	4	3	4	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	none	76790777	A2Z70GL7HTFFQR	"A04548021K19SQXHSP0XC	, A2YQBBAK7NBZHU	, A351P2O6QGTCS	, A3OW5EFQ5QFD19	, AX06ZUCRNSGB3	,"		4	4	2	0	4	4	2	0	0	0	1	1	0	0	5	6	1	5	6	1	2	3	2	1	1	2	3	2	1	1	3	1	1	1	0	0	0	8/14/17	8/14/17	8/14/17					8/14/17								24	35	5	25	8	8
8/14/17 16:40	8/14/17 16:46	0	69.125.66.208	100	367	1	8/14/17 16:46	R_rkaCMVpUza6m2cN					40.90229797	-74.06150055	anonymous	EN	A2OTDMCV8CZWML	1	1	40	40	2		2	1	6		4		1	1										4	3	3	8/13/17	"1,2,3"	"2,4,5"		"2,4,6"		1	2	2	2	8/3/17	"2,3"	"2,4"		"2,4"		2	1										2	2	2	8/14/17	"2,3,4,6"	"2,3,5"		2		2	2										2										1	1	7	7	8/13/17	"1,2"	6		6		2	2	2	8/13/17	"1,2"	4		4		2	2										1																																																													4	4	4	4	4	4	4	4	3	3	3	3	4	4	4	4	2	3	2	2	2	2	4	4	3	3	3	3	4	2	1	2	1	3	2	2	1	2	2	2	2	3	2	2	2		9449923	A2OTDMCV8CZWML	"A04548021K19SQXHSP0XC	, A2YQBBAK7NBZHU	, A351P2O6QGTCS	, A3OW5EFQ5QFD19	, AX06ZUCRNSGB3	,"		3	4	6	0	3	4	6	0	1	1	1	1	0	0	6	12	2	6	12	2	3	1	3	2	1	3	0	3	0	2	3	5	3	1	0	1	0		8/13/17	8/3/17		8/14/17			8/13/17	8/13/17							32	28	11	26	14	17
8/14/17 16:36	8/14/17 16:52	0	172.112.216.130	100	984	1	8/14/17 16:52	R_2E6RkFBJeROTlgh					33.71099854	-118.0438004	anonymous	EN	AYF8B7WJO2YQU	1	1	47	47	2		1	2	5		3		1	2	2	2	8/14/17	"1,2,5,6,7"	"2,6"		"2,4,6"		2	3	2	2	8/12/17	"1,2,5"	6		6		1	3	2	2	7/22/17	5	6		6		2	5	1	1	7/29/17	"1,2,5"	6		6		2	3	3	3	8/13/17	"2,5"	4		4		2	1	1	1	5/28/17	8					2	2										1	1	3	3	8/4/17	"1,4"	4		4		2	4	4	8/3/17	1	4		4		2	2										1																																																													4	4	4	4	4	4	4	3	3	2	3	4	3	3	4	4	2	2	1	1	1	3	3	4	4	3	4	3	4	3	2	2	2	2	2	2	3	2	2	2	1	2	1	2	1	Thanks!	37377623	AYF8B7WJO2YQU	"A04548021K19SQXHSP0XC	, A2YQBBAK7NBZHU	, A351P2O6QGTCS	, A3OW5EFQ5QFD19	, AX06ZUCRNSGB3	,"		4	4	2	0	4	4	2	0	0	0	1	1	0	0	7	11	1	7	11	1	1	0	3	0	4	1	0	4	0	4	5	4	0	1	5	1	1	8/14/17	8/12/17	7/22/17	7/29/17	8/13/17	5/28/17		8/4/17	8/3/17							31	26	7	28	18	13
8/14/17 16:54	8/14/17 17:15	0	71.205.148.112	100	1235	1	8/14/17 17:15	R_2ruMjMw2PnFMayB					39.70410156	-104.9338989	anonymous	EN	A1S6C6EN8MPKC3	1	1	50	50	2		2	2	5		3		2	1										1																				2	2	2	8/13/17	"1,2,3,4,5"	6		6		2	4	3	3	8/11/17	"1,5"	"4,5,6"		"4,6"		2	2										2										1	8	8	8	8/14/17	1	"3,4,5,6"		"3,4,5,6"		2	1	3	8/13/17	1	7	just being social	7	just being social- saying hello	1	2										2	stock trading/sharing group	6	6	8/5/17	"4,5"	4		4		2																																																			4	4	5	5	4	4	4	5	4	5	4	5	4	4	4	4	2	2	1	1	1	3	4	5	5	5	4	5	4	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	"none- no issues, everything was straightforward. thank you!"	78757443	A1S6C6EN8MPKC3	"A04548021K19SQXHSP0XC	, A2YQBBAK7NBZHU	, A351P2O6QGTCS	, A3OW5EFQ5QFD19	, AX06ZUCRNSGB3	,"		1	1	7	5	1	1	7	5	1	1	0	0	1	1	4	15	2	5	17	2	0	1	3	2	3	0	1	3	1	3	4	1	1	2	3	0	0				8/13/17	8/11/17			8/14/17	8/13/17		8/5/17					35	34	7	35	17	17
8/14/17 17:18	8/14/17 17:26	0	73.73.9.218	100	510	1	8/14/17 17:26	R_1N8NlGx8LMEEYpM					42.35949707	-88.27339935	anonymous	EN		1	1	29	29	2		1	2	5		4		1	1										3	3	3	8/11/17	2	"4,6"		6		2	3	1	1	6/24/14	1	7	none	7	none	2	3	3	3	8/14/17	2	"2,4,6"		"2,4,6"		2	3	3	3	8/14/17	"1,2,3,5"	"2,4,5,6"		"2,4,5,6"		2	2										2										1	1	8	8	8/14/17	"1,2,3,5"	"2,4,5,6"		"2,4,5,6"		2	1	1								2										1																																																													5	5	5	5	5	5	5	5	4	4	4	5	4	4	5	5	1	1	1	1	1	5	5	5	5	5	5	5	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		676531	A3JTDNRJYVCGQD	"A04548021K19SQXHSP0XC	, A2YQBBAK7NBZHU	, A351P2O6QGTCS	, A3OW5EFQ5QFD19	, AX06ZUCRNSGB3	,"		3	5	7	0	3	5	7	0	1	1	1	1	0	0	5	14	2	5	14	2	3	0	4	2	4	3	0	3	2	4	3	4	2	0	2	0	0		8/11/17	6/24/14	8/14/17	8/14/17			8/14/17								40	35	5	40	9	8
